KW,URL_1,clicks_1,position_1,URL_2,clicks_2,position_2,推奨,total_pages
アビーム ケース面接,https://akagiconsulting.com/blog/fermi-estimate/866/,109,2.0,https://akagiconsulting.com/blog/case-interview/1164/,5,9.1,URL_1がメイン（クリック21.8倍）,4
ベイカレント ケース面接,https://akagiconsulting.com/blog/fermi-estimate/860/,106,3.2,https://akagiconsulting.com/blog/fermi-estimate/1277/,3,7.1,URL_1がメイン（クリック35.3倍）,9
pwc ケース面接,https://akagiconsulting.com/blog/fermi-estimate/878/,85,2.3,https://akagiconsulting.com/blog/case-interview/1259/,1,12.3,URL_1がメイン（クリック85.0倍）,6
デロイト ケース面接,https://akagiconsulting.com/blog/fermi-estimate/872/,66,2.7,https://akagiconsulting.com/blog/fermi-estimate/882/,19,6.4,URL_1がメイン（クリック3.5倍）,6
アクセンチュア ケース面接 過去問,https://akagiconsulting.com/blog/case-interview/864/,43,5.0,https://akagiconsulting.com/blog/fermi-estimate/1141/,25,5.5,URL_1がメイン（僅差・統合検討推奨）,6
アビームコンサルティング ケース面接,https://akagiconsulting.com/blog/fermi-estimate/866/,61,2.0,https://akagiconsulting.com/blog/case-interview/1164/,3,9.6,URL_1がメイン（クリック20.3倍）,4
ノースサンド 選考フロー,https://akagiconsulting.com/blog/information/2063/,58,3.0,https://akagiconsulting.com/blog/information/2103/,0,2.0,URL_1がメイン（僅差・統合検討推奨）,2
ベイカレント ケース面接 過去問,https://akagiconsulting.com/blog/fermi-estimate/860/,43,1.0,https://akagiconsulting.com/blog/fermi-estimate/1277/,10,3.0,URL_1がメイン（クリック4.3倍）,5
ベイカレ ケース面接,https://akagiconsulting.com/blog/fermi-estimate/860/,46,2.4,https://akagiconsulting.com/blog/fermi-estimate/1277/,0,10.4,URL_1がメイン（順位2.4 vs 10.4）,2
ケース面接 ベイカレント,https://akagiconsulting.com/blog/fermi-estimate/860/,38,1.6,https://akagiconsulting.com/blog/fermi-estimate/1277/,6,7.6,URL_1がメイン（クリック6.3倍）,2
